관중통계(전체현황),,,,,,,,,,,,
"선택항목 : 단체 : KBO   시즌 : 2021,2022,2023,2024  시즌구분  : 전체   구단구분 : 전체     요일 :   undefined :  undefined :",,,,,,,,,,,,
단체,리그,시즌,연도,월,일,요일,홈팀,원정팀,경기장,날씨,평균기온,관중수
KBO,정규리그,2023 시즌,2023,08,27,일,NC,LG,창원NC파크,구름많음,31.7℃,"8,771"
KBO,정규리그,2023 시즌,2023,08,27,일,KIA,한화,광주-기아 챔피언스 필드,구름조금,32.2℃,"12,627"
KBO,정규리그,2023 시즌,2023,08,26,토,KIA,한화,광주-기아 챔피언스 필드,맑음,32.3℃,"16,812"
KBO,정규리그,2023 시즌,2023,08,26,토,NC,LG,창원NC파크,맑음,32.1℃,"13,484"
KBO,정규리그,2023 시즌,2023,08,26,토,삼성,키움히어로즈,대구 삼성 라이온즈 파크,맑음,32.8℃,"17,586"
KBO,정규리그,2023 시즌,2023,08,26,토,롯데,KT,부산 사직 야구장,맑음,31.1℃,"15,657"
KBO,정규리그,2023 시즌,2023,08,26,토,두산,SSG,서울 잠실 야구장,구름많음,30.3℃,"15,101"
KBO,정규리그,2023 시즌,2023,08,25,금,두산,SSG,서울 잠실 야구장,구름조금,30℃,"8,363"
KBO,정규리그,2023 시즌,2023,08,25,금,롯데,KT,부산 사직 야구장,구름조금,30.2℃,"10,709"
KBO,정규리그,2023 시즌,2023,08,25,금,삼성,키움히어로즈,대구 삼성 라이온즈 파크,비,32.4℃,"11,135"
KBO,정규리그,2023 시즌,2023,08,25,금,NC,LG,창원NC파크,구름조금,32.4℃,"9,288"
